held_out_record,parameter,coefficient,training_center,training_scale,model
VisualCogA_Task-1,intercept,0.21117456389986813,,,cue_plus_task_code
VisualCogA_Task-1,cue_side,1.5540879960445768,-0.017421602787456445,0.9998482323614499,cue_plus_task_code
VisualCogA_Task-1,filename_task_code_candidate,0.0483538132622191,1.6585365853658536,0.4742005389078922,cue_plus_task_code
VisualCogA_Task-1,cue_by_task_code_candidate,-1.6999677958840613,-0.029616724738675958,0.4991220788702434,cue_plus_task_code
VisualCogA_Task-2,intercept,0.06642052253505068,,,cue_plus_task_code
VisualCogA_Task-2,cue_side,1.8707885812421372,-0.003436426116838488,0.9999940954703401,cue_plus_task_code
VisualCogA_Task-2,filename_task_code_candidate,0.12908170713049308,1.3195876288659794,0.46631681970716043,cue_plus_task_code
VisualCogA_Task-2,cue_by_task_code_candidate,-2.0242193525563272,0.005154639175257732,0.49997342898895425,cue_plus_task_code
VisualCogB_Task-1,intercept,-0.009481915781063522,,,cue_plus_task_code
VisualCogB_Task-1,cue_side,1.8783632852812338,-0.0657439446366782,0.9978365265631487,cue_plus_task_code
VisualCogB_Task-1,filename_task_code_candidate,0.10778689797288828,1.6539792387543253,0.47569989913036403,cue_plus_task_code
VisualCogB_Task-1,cue_by_task_code_candidate,-2.0308445053846564,-0.005190311418685121,0.49997305994161034,cue_plus_task_code
VisualCogB_Task-2,intercept,-0.0036082825784975537,,,cue_plus_task_code
VisualCogB_Task-2,cue_side,1.8677848031120294,-0.047619047619047616,0.9988655696858587,cue_plus_task_code
VisualCogB_Task-2,filename_task_code_candidate,0.03282141207545525,1.3265306122448979,0.4689438895133085,cue_plus_task_code
VisualCogB_Task-2,cue_by_task_code_candidate,-2.0246768396287314,-0.017006802721088437,0.49971068495801246,cue_plus_task_code
VisualCogA_Task-1,intercept,0.1614147165524987,,,EEG_state_only
VisualCogA_Task-1,V_visual_like_raw,-0.052474414048834496,-5.609427775815912,60.257453182376956,EEG_state_only
VisualCogA_Task-1,H_memory_like_raw,0.12909746038525796,2.7773208467301562,0.8662050119810049,EEG_state_only
VisualCogA_Task-1,P_control_like_raw,0.01102391966661158,2.4848531446452777,0.6348086197204585,EEG_state_only
VisualCogA_Task-2,intercept,0.07620206915767092,,,EEG_state_only
VisualCogA_Task-2,V_visual_like_raw,0.07521492354808386,-3.5653621412429968,54.15643690947974,EEG_state_only
VisualCogA_Task-2,H_memory_like_raw,0.1213421666465803,2.687298902357843,0.831435487325966,EEG_state_only
VisualCogA_Task-2,P_control_like_raw,0.12414596965069197,2.5548224897503,0.750868103786879,EEG_state_only
VisualCogB_Task-1,intercept,0.06228627070182953,,,EEG_state_only
VisualCogB_Task-1,V_visual_like_raw,-0.09366297718918044,-3.5912592234508707,59.02561063611325,EEG_state_only
VisualCogB_Task-1,H_memory_like_raw,0.0677951273034774,2.753464058418347,0.8957752285257532,EEG_state_only
